-------------------------------------------------
        name         kor eng mat sum  avg   rank
-------------------------------------------------
ParkJungSeok         100 100 100 300 100.00   1
LimYoHan              95  81  90 266  88.67   4
ChoiYoungHan          85 100  95 280  93.33   2
Hansoyoung            95  90  75 260  86.67   6
HongGilDong           55  80 100 235  78.33   9
Cat                  100  63  25 188  62.67  10
Dog                   85  93  80 258  86.00   7
Frog                  95  81  90 266  88.67   4
Ssorry                65  80  95 240  80.00   8
KangMin              100  85  93 278  92.67   3
